UNIVERSIDAD ;PROGRAMA ACADEMICO;SEXO;SEMESTRE;GRADUADOS
UNIVERSIDAD NACIONAL DE COLOMBIA;MEDICINA;Masculino;1;76
UNIVERSIDAD NACIONAL DE COLOMBIA;MEDICINA;Masculino;2;61
UNIVERSIDAD NACIONAL DE COLOMBIA;MEDICINA;Femenino;1;48
UNIVERSIDAD NACIONAL DE COLOMBIA;MEDICINA;Femenino;2;50
UNIVERSIDAD DEL CAUCA;MEDICINA;Masculino;1;20
UNIVERSIDAD DEL CAUCA;MEDICINA;Masculino;2;13
UNIVERSIDAD DEL CAUCA;MEDICINA;Femenino;1;27
UNIVERSIDAD DEL CAUCA;MEDICINA;Femenino;2;7
PONTIFICIA UNIVERSIDAD JAVERIANA;MEDICINA;Masculino;1;25
PONTIFICIA UNIVERSIDAD JAVERIANA;MEDICINA;Masculino;2;28
PONTIFICIA UNIVERSIDAD JAVERIANA;MEDICINA;Femenino;1;41
PONTIFICIA UNIVERSIDAD JAVERIANA;MEDICINA;Femenino;2;47
UNIVERSIDAD NACIONAL DE COLOMBIA;ING. CIVIL;Masculino;1;51
UNIVERSIDAD NACIONAL DE COLOMBIA;ING. CIVIL;Masculino;2;64
UNIVERSIDAD NACIONAL DE COLOMBIA;ING. CIVIL;Femenino;1;7
UNIVERSIDAD NACIONAL DE COLOMBIA;ING. CIVIL;Femenino;2;13
UNIVERSIDAD DEL CAUCA;ING. CIVIL;Masculino;1;35
UNIVERSIDAD DEL CAUCA;ING. CIVIL;Masculino;2;41
UNIVERSIDAD DEL CAUCA;ING. CIVIL;Femenino;1;17
UNIVERSIDAD DEL CAUCA;ING. CIVIL;Femenino;2;25
PONTIFICIA UNIVERSIDAD JAVERIANA;ING. CIVIL;Masculino;1;44
PONTIFICIA UNIVERSIDAD JAVERIANA;ING. CIVIL;Masculino;2;54
PONTIFICIA UNIVERSIDAD JAVERIANA;ING. CIVIL;Femenino;1;35
PONTIFICIA UNIVERSIDAD JAVERIANA;ING. CIVIL;Femenino;2;29
UNIVERSIDAD NACIONAL DE COLOMBIA;BIOLOGIA;Masculino;1;18
UNIVERSIDAD NACIONAL DE COLOMBIA;BIOLOGIA;Masculino;2;29
UNIVERSIDAD NACIONAL DE COLOMBIA;BIOLOGIA;Femenino;1;15
UNIVERSIDAD NACIONAL DE COLOMBIA;BIOLOGIA;Femenino;2;20
UNIVERSIDAD DEL CAUCA;BIOLOGIA;Masculino;1;4
UNIVERSIDAD DEL CAUCA;BIOLOGIA;Masculino;2;9
UNIVERSIDAD DEL CAUCA;BIOLOGIA;Femenino;1;10
UNIVERSIDAD DEL CAUCA;BIOLOGIA;Femenino;2;15
PONTIFICIA UNIVERSIDAD JAVERIANA;BIOLOGIA;Masculino;1;9
PONTIFICIA UNIVERSIDAD JAVERIANA;BIOLOGIA;Masculino;2;8
PONTIFICIA UNIVERSIDAD JAVERIANA;BIOLOGIA;Femenino;1;10
PONTIFICIA UNIVERSIDAD JAVERIANA;BIOLOGIA;Femenino;2;13
UNIVERSIDAD NACIONAL DE COLOMBIA;ADMIN.;Masculino;1;30
UNIVERSIDAD NACIONAL DE COLOMBIA;ADMIN.;Masculino;2;49
UNIVERSIDAD NACIONAL DE COLOMBIA;ADMIN.;Femenino;1;23
UNIVERSIDAD NACIONAL DE COLOMBIA;ADMIN.;Femenino;2;26
UNIVERSIDAD DEL CAUCA;ADMIN.;Masculino;1;12
UNIVERSIDAD DEL CAUCA;ADMIN.;Masculino;2;15
UNIVERSIDAD DEL CAUCA;ADMIN.;Femenino;1;20
UNIVERSIDAD DEL CAUCA;ADMIN.;Femenino;2;22
PONTIFICIA UNIVERSIDAD JAVERIANA;ADMIN.;Masculino;1;91
PONTIFICIA UNIVERSIDAD JAVERIANA;ADMIN.;Masculino;2;94
PONTIFICIA UNIVERSIDAD JAVERIANA;ADMIN.;Femenino;1;56
PONTIFICIA UNIVERSIDAD JAVERIANA;ADMIN.;Femenino;2;62
UNIVERSIDAD NACIONAL DE COLOMBIA;ECONOMÍA;Masculino;1;36
UNIVERSIDAD NACIONAL DE COLOMBIA;ECONOMÍA;Masculino;2;40
UNIVERSIDAD NACIONAL DE COLOMBIA;ECONOMÍA;Femenino;1;15
UNIVERSIDAD NACIONAL DE COLOMBIA;ECONOMÍA;Femenino;2;19
UNIVERSIDAD DEL CAUCA;ECONOMÍA;Masculino;1;1
UNIVERSIDAD DEL CAUCA;ECONOMÍA;Masculino;2;5
UNIVERSIDAD DEL CAUCA;ECONOMÍA;Femenino;0;0
UNIVERSIDAD DEL CAUCA;ECONOMÍA;Femenino;2;11
PONTIFICIA UNIVERSIDAD JAVERIANA;ECONOMÍA;Masculino;1;26
PONTIFICIA UNIVERSIDAD JAVERIANA;ECONOMÍA;Masculino;2;32
PONTIFICIA UNIVERSIDAD JAVERIANA;ECONOMÍA;Femenino;1;14
PONTIFICIA UNIVERSIDAD JAVERIANA;ECONOMÍA;Femenino;2;17
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
;;;;
